,HoldOut_R2,HoldOut_R2,HoldOut_R2,HoldOut_R2,KFold_R2,KFold_R2,HoldOut_RMSE,HoldOut_RMSE,Extreme_High_MAE,Extreme_High_MAE
,mean,std,max,min,mean,std,mean,min,mean,min
Model,,,,,,,,,,
ElasticNet,-0.1538,0.3305,0.298,-0.6264,-0.2376,0.1683,2.8137,2.2152,4.4277,3.1205
ExtraTrees,0.123,0.2192,0.3551,-0.2984,0.0943,0.1149,2.46,2.1233,3.5192,2.9655
GPR,-0.0232,0.1858,0.2795,-0.1235,-0.0101,0.0552,2.6636,2.2442,4.0044,3.9405
Lasso,-0.2063,0.2087,0.1763,-0.464,-0.2325,0.1525,2.8936,2.3996,3.9515,2.5472
LightGBM,-0.1987,0.1615,0.0655,-0.447,-0.0286,0.0596,2.8889,2.5559,3.8951,3.1511
RandomForest,0.1613,0.2083,0.4277,-0.1846,0.0527,0.0945,2.4053,2.0002,3.265,2.026
Ridge,-1.6246,2.2924,0.2073,-5.7392,-0.8847,1.0841,3.9599,2.354,5.0791,2.0896
XGBoost,-0.0191,0.575,0.7822,-1.1154,-0.1029,0.2805,2.5698,1.2338,3.1745,1.4526
