Model,N_Desc,KFold_R2,KFold_Std,HoldOut_R2,HoldOut_RMSE,Extreme_Low_MAE,Extreme_High_MAE
RandomForest,5,-0.10773977066913139,0.1727192392705713,-0.05694248970190019,2.718137678515302,,2.787013345785341
RandomForest,10,-0.02563991069993512,0.18660676085041872,0.06226682231966363,2.5602679115876565,,3.7550090031392886
RandomForest,15,0.10670565959498823,0.17721849849856827,0.42765265007198305,2.000210074288198,,2.025983916841282
RandomForest,20,0.09762123775701366,0.08974157866666993,0.23497192646403664,2.3125144669979365,,2.879784261746874
RandomForest,30,-0.03557524346354146,0.18502429475317558,-0.18461281402880525,2.877623591158927,,3.565157689546979
RandomForest,40,0.12269674005210504,0.13792837611259368,0.29654816536274997,2.2174965636040294,,3.233554937158333
RandomForest,50,0.14788286017589664,0.12732298377812584,0.3395406233534477,2.148665582515448,,3.5428467809425235
RandomForest,64,0.11551297324473472,0.12074474430708544,0.17086868415521472,2.4074508611400574,,4.331004758412606
ExtraTrees,5,0.12939084079356028,0.13235228900116938,-0.05783462198078437,2.7192845842822475,,4.5283835290704415
ExtraTrees,10,0.10301797942000748,0.07317065328595827,0.0520117687808479,2.5742293944016286,,3.669991717831461
ExtraTrees,15,-0.17690840465003072,0.1419101042528488,-0.29838798486739027,3.0126453971625633,,3.768803682067846
ExtraTrees,20,0.06541840059541752,0.12675105375199808,0.11847094930965585,2.482356125390291,,3.2310879950881364
ExtraTrees,30,0.1508208948076867,0.09434624013711902,0.2502999060973472,2.289230664999885,,3.272043126671979
ExtraTrees,40,0.16038284873554517,0.11430904163176685,0.28971044501684007,2.228247799540132,,3.1383151248819465
ExtraTrees,50,0.16977991990460367,0.11427912241738805,0.3550698846854041,2.1232547320950643,,2.9655112643210995
ExtraTrees,64,0.1528232514657078,0.11516112318098704,0.27504608532916264,2.251132053381306,,3.579547295129752
XGBoost,5,-0.7501067456483348,0.2518019326831908,-1.1153803992552884,3.8453866137662787,,4.55844774705071
XGBoost,10,-0.21458748296976554,0.25460685560405627,-0.5124522952397497,3.2515213861583976,,5.471407481649506
XGBoost,15,-0.04639314176227845,0.31507531069571565,-0.10315396987999881,2.7769230045175237,,3.0475488390713807
XGBoost,20,0.05357104046080339,0.13335778239911572,0.19247042760562616,2.3758826709891308,,3.483913012960541
XGBoost,30,0.13120831006491596,0.3266557058275996,0.7822262155159178,1.233810811073581,,1.4526312238166608
XGBoost,40,-0.053815771143350524,0.3519013517745616,0.1216918965920204,2.477816935703452,,1.9673550015876569
XGBoost,50,0.018423201691883405,0.3142356374926814,0.13919771014826088,2.452999608963814,,3.2021082923998314
XGBoost,64,0.03822951563420414,0.31433937775601356,0.3422264260572686,2.1442922849854487,,2.2122779574185487
LightGBM,5,-0.07771241179830317,0.11527713937710134,0.0654755251809005,2.5558838400907393,,3.6088633939456436
LightGBM,10,-0.0627119962292515,0.042860723783484427,-0.13898882206584884,2.8216653375677008,,3.151092242617981
LightGBM,15,-0.10193981449533158,0.11449535177880667,-0.23132090629854263,2.9338060432515336,,3.483170372463263
LightGBM,20,-0.053261244753987434,0.22729184826840715,-0.446954762202715,3.1803377841468294,,4.069720642128226
LightGBM,30,-0.027287058874443715,0.19491709167039015,-0.26300265147858326,2.9713095808385135,,3.3604601899727786
LightGBM,40,0.040448747074416015,0.16971410132340836,-0.15895661584740095,2.8462914070179064,,4.4677502270888425
LightGBM,50,0.07371790309365478,0.1323752123180053,-0.06555347208431672,2.72918764427388,,3.9490053038029065
LightGBM,64,-0.01986108562693003,0.20259700914438838,-0.3505698393779715,3.0725877562790447,,5.070807464360895
Ridge,5,0.03455268873785759,0.10735957701060529,-0.1461411376282935,2.8305108403095725,,4.472005599761369
Ridge,10,-0.11912948458567105,0.28018875753789024,-0.070058948827322,2.734951466125265,,3.9983377135153795
Ridge,15,0.10518560502409835,0.2536468390866057,0.20725081884203578,2.354039106162257,,2.089633443266642
Ridge,20,-0.5213352547984218,0.8784053206678435,-0.09761221785262286,2.7699392131815195,,3.5425906187838856
Ridge,30,-0.4243581724966715,0.39104774764938216,-0.43334985219248945,3.1653510001148746,,2.7340092552561575
Ridge,40,-1.4580939549549436,1.5606133169164544,-4.391402092727014,6.138985867693499,,7.614307269818206
Ridge,50,-1.6892903369138217,1.0709834057728556,-2.3264691162711557,4.8221145181984495,,7.671320469865424
Ridge,64,-3.0051669769364553,1.5107215470508033,-5.739232027361085,6.863584372320768,,8.510868316633939
Lasso,5,-0.2684946391820474,0.4678760934087978,-0.01092768240731612,2.658311173405077,,3.9883651671900355
Lasso,10,0.01114492238249556,0.18342921276708085,-0.2807489337738942,2.9921115023614417,,3.1896841076073716
Lasso,15,-0.10381515839271582,0.30540184343855653,-0.13480314835430862,2.816475891957443,,4.318652936284798
Lasso,20,-0.1366428865087176,0.30794078650385437,0.17628726017993335,2.3995713261437337,,2.5472206726126214
Lasso,30,-0.3591728030376876,0.05499917991618554,-0.25417222228904324,2.9609042340064633,,3.799644839931256
Lasso,40,-0.19619584255716319,0.33416394147004175,-0.3900422676196442,3.117164885297422,,2.729596221817561
Lasso,50,-0.3870849735504367,0.4319127756749617,-0.2918162525025785,3.0050115407411075,,5.327670298275687
Lasso,64,-0.4200933347548002,0.3181358556850218,-0.46395359137014314,3.1989645462910996,,5.710981374303039
ElasticNet,5,-0.1279559183992844,0.32130598874491595,0.29797358858210077,2.2152487380965793,,3.3030736749136342
ElasticNet,10,0.046269971935454055,0.1280689899872436,-0.18810960860760306,2.8818676123643865,,4.09740908565028
ElasticNet,15,-0.17730546981133424,0.32734050662355463,0.11594914223752995,2.485904251556893,,3.1205024990045818
ElasticNet,20,-0.3179328375037365,0.22400893035083264,-0.6263948130284438,3.3717763679074215,,5.43156125457017
ElasticNet,30,-0.15157638235128268,0.362094215394059,0.14339297513049953,2.4470147545780607,,3.2560668799174852
ElasticNet,40,-0.31800866065688016,0.5069748113883653,-0.08245459179764292,2.750746795532348,,4.898934300538786
ElasticNet,50,-0.3570004048372509,0.2773910234325801,-0.43858392792936596,3.171125092739188,,5.8848570835591545
ElasticNet,64,-0.49712838843493723,0.31240669801836496,-0.4518565919735824,3.1857202239060145,,5.429368402140216
GPR,5,-0.03838563414794862,0.04863166442769764,-0.12354868231133964,2.8024748222858222,,3.940460182357602
GPR,10,-0.038386299782568176,0.04863159779991001,-0.12354931122317625,2.802475606635165,,3.9404608805387866
GPR,15,-0.03838633279515773,0.04863163286065557,-0.12354931744043185,2.8024756143890333,,3.9404609563954334
GPR,20,-0.03838613254551944,0.04863160919982712,-0.12354894580978582,2.8024751509087515,,3.9404604197121142
GPR,30,-0.038386075619925464,0.04863159888348107,-0.12354897716943913,2.8024751900190408,,3.940460683182985
GPR,40,-0.038385882898099674,0.04863144007546697,-0.12354842908233632,2.8024745064704253,,3.940460155857503
GPR,50,0.042227892575138884,0.12094876509597688,0.27951889851679135,2.244176803008913,,4.182569458141321
GPR,64,0.10734460139244009,0.13551075949654928,0.2759893406835988,2.2496670750777787,,4.210238357257382
